taxon	min	max
Anthropornis_grandis	30.3	46.8
Anthropornis_nordenskjoeldi	30.3	46.8
Aptenodytes_forsteri	0	0.001172
Aptenodytes_patagonicus	0	0.008725
Aptenodytes_ridgeni	0.781	15.97
Archaeospheniscus_lopdelli	25.2	29.8
Archaeospheniscus_lowei	25.2	29.8
Burnside_"Palaeeudyptes"	36	38.4
Delphinornis_arctowskii	30.3	46.8
Delphinornis_gracilis	34	36
Delphinornis_larseni	30.3	46.8
Eretiscus_tonnii	16	21
Eudyptes_aurora	3.06	3.36
Eudyptes_calauina	2.58	3.6
Eudyptes_chrysocome	0	0.00272
Eudyptes_chrysolophus	0	0
Eudyptes_filholi	0	0
Eudyptes_moseleyi	0	0
Eudyptes_pachyrhynchus	0	0.13
Eudyptes_robustus	0	0.001505
Eudyptes_schlegeli	0	0.008725
Eudyptes_sclateri	0	0.006
Eudyptes_warhami	0.000533	0.000766
Eudyptula_minor	0	0.13
Eudyptula_novaehollandiae	0	0.00467
Icadyptes_salasi	30.3	46.8
Inguza_predemersus	5.15	5.15
Inkayacu_paracasensis	35.7	37.2
Kairuku_grebneffi	25.2	29.8
Kairuku_waitaki	25.2	29.8
Madrynornis_mirandus	9.7	10.3
Marambiornis_exilis	34	36
Marplesornis_novaezealadiae	0.781	15.97
Megadyptes_antipodes	0	0.13
Megadyptes_antipodes_richdalei	0	0.007
Megadyptes_antipodes_waitaha	0	0.0015
Mesetaornis_polaris	30.3	46.8
Muriwaimanu_tuatahi	56	61.25
Notodyptes_wimani	34	45
Nucleornis_insolitus	5.15	5.15
Pachydyptes_ponderosus	34.5	36
Palaeeudyptes_gunnari	30.3	46.8
Palaeeudyptes_klekowskii	34	45
Palaeospheniscus_bergi	9.7	21
Palaeospheniscus_biloculata	16	21
Palaeospheniscus_patagonicus	16	21
Paraptenodytes_antarcticus	17.9	22.12
Perudyptes_devriesi	37	47
Platydyptes_marplesi	21.7	27.3
Platydyptes_novaezealandiae	21.7	27.3
Pygoscelis_adeliae	0	0.045
Pygoscelis_antarcticus	0	8e-04
Pygoscelis_calderensis	6.3	11.63
Pygoscelis_grandis	2.5	8.9
Pygoscelis_papua	0	0.00454
Pygoscelis_tyreei	0.781	15.97
Sequiwaimanu_rosieae	61	61
Spheniscus_chilensis	2.58	3.6
Spheniscus_demersus	0	0.4
Spheniscus_humboldti	0	0.01
Spheniscus_magellanicus	0	0.006
Spheniscus_megaramphus	6.3	10
Spheniscus_mendiculus	0	0
Spheniscus_muizoni	9	9.2
Spheniscus_urbinai	5.7	9.63
Waimanu_manneringi	61.5	61.5
